Desc_P,Code_P,Desc_E,Code_E,Desc_F,Code_F
Sok t?oczony nfc jab?kowy s?odko-kwa?ny ligol ,Soki owocowe i warzywne,Pressed juice nfc apple sweet and sour ligol,Fruit and vegetable juices,Jus Pressé nfc Pommes Ligol Aigre,Jus de fruits et de légumes
"Sok Tymbark jab?ko /0,3l ",Soki owocowe i warzywne,Tymbark apple juice / 0.3l,Fruit and vegetable juices,Jus de pomme Tymbark / 0.3l,Jus de fruits et de légumes
"Sok Tymbark jab?ko 100%/0,2l ",Soki owocowe i warzywne,Tymbark apple juice 100% / 0.2l,Fruit and vegetable juices,"Jus de pomme Tymbark 100% / 0,2l",Jus de fruits et de légumes
"Sok Tymbark multiwitamina 100%/0,2l ",Soki owocowe i warzywne,Tymbark juice multivitamin 100% / 0.2l,Fruit and vegetable juices,"Jus de Tymbark multivitamines 100% / 0,2l",Jus de fruits et de légumes
Sok Tymbark multiwitamina classic 100% ,Soki owocowe i warzywne,Tymbark juice multivitamin classic 100%,Fruit and vegetable juices,Jus Tymbark multivitamines classique 100%,Jus de fruits et de légumes
"Sok Tymbark pomara?cza 100% 0,2l ",Soki owocowe i warzywne,Tymbark orange juice 100% 0.2l,Fruit and vegetable juices,"Jus d&#39;orange Tymbark 100% 0,2l",Jus de fruits et de légumes
"Sok Tymbark pomara?cza/0,3l ",Soki owocowe i warzywne,Tymbark orange juice / 0.3l,Fruit and vegetable juices,Jus d&#39;orange Tymbark / 0.3l,Jus de fruits et de légumes
"Sok Vitaminka 100% marchew, jab?ko, brzoskwinia",Soki owocowe i warzywne,"Vitaminka juice 100% carrot, apple, peach",Fruit and vegetable juices,"Jus de Vitaminka 100% carotte, pomme, pêche",Jus de fruits et de légumes
"Sok Vitaminka 100% marchew, jab?ko, malina",Soki owocowe i warzywne,"Vitaminka juice 100% carrot, apple, raspberry",Fruit and vegetable juices,"Jus de Vitaminka 100% carotte, pomme, framboise",Jus de fruits et de légumes
Sok Witamina C Natura nies?odzony ,Soki owocowe i warzywne,Juice Vitamin C Nature unsweetened,Fruit and vegetable juices,Jus Vitamin C Nature non sucré,Jus de fruits et de légumes
Sok z aloesu bio ,Soki owocowe i warzywne,Organic aloe vera juice,Fruit and vegetable juices,Jus d&#39;aloe vera bio,Jus de fruits et de légumes
Sok z Aloesu z mi??szem 100% Oleofarm,Soki owocowe i warzywne,Aloe juice with 100% Oleofarm pulp,Fruit and vegetable juices,Jus d&#39;aloès à 100% de pulpe d&#39;Oleofarm,Jus de fruits et de légumes
Sok z aronii ,Soki owocowe i warzywne,Chokeberry juice,Fruit and vegetable juices,Jus de chokeberry,Jus de fruits et de légumes
Sok z Aronii 100% Oleofarm,Soki owocowe i warzywne,Chokeberry juice 100% Oleofarm,Fruit and vegetable juices,Jus d&#39;aronia 100% Oleofarm,Jus de fruits et de légumes
Sok z aronii bio ,Soki owocowe i warzywne,Organic chokeberry juice,Fruit and vegetable juices,Jus d&#39;aronia biologique,Jus de fruits et de légumes
Sok z brzozy naturalny ,Soki owocowe i warzywne,Natural birch juice,Fruit and vegetable juices,Jus de bouleau naturel,Jus de fruits et de légumes
Sok z brzozy smak jab?ka ,Soki owocowe i warzywne,Birch juice apple flavor,Fruit and vegetable juices,Jus de bouleau au goût de pomme,Jus de fruits et de légumes
Sok z brzozy smak maliny ,Soki owocowe i warzywne,Birch juice with raspberry flavor,Fruit and vegetable juices,Jus de bouleau à la framboise,Jus de fruits et de légumes
Sok z brzozy smak mi?ty ,Soki owocowe i warzywne,Birch juice with mint flavor,Fruit and vegetable juices,Jus de bouleau à la menthe,Jus de fruits et de légumes
Sok z brzozy smak moreli ,Soki owocowe i warzywne,Birch juice with apricot flavor,Fruit and vegetable juices,Jus de bouleau à la saveur d&#39;abricot,Jus de fruits et de légumes
Sok z brzozy z owocem granatu ,Soki owocowe i warzywne,Birch juice with pomegranate,Fruit and vegetable juices,Jus de bouleau à la grenade,Jus de fruits et de légumes
Sok z buraków ?wik?owych   i   ,Soki owocowe i warzywne,Beetroot juice and,Fruit and vegetable juices,Jus de betterave et,Jus de fruits et de légumes
Sok z gruszek ,Soki owocowe i warzywne,Pear juice,Fruit and vegetable juices,Jus de poire,Jus de fruits et de légumes
Sok z jab?ek ,Soki owocowe i warzywne,Apple juice,Fruit and vegetable juices,Jus de pomme,Jus de fruits et de légumes
Sok z jab?ek i malin   i   ,Soki owocowe i warzywne,Apple and raspberry juice and,Fruit and vegetable juices,Jus de pomme et de framboise et,Jus de fruits et de légumes
Sok z jab?ek i ?urawiny   i   ,Soki owocowe i warzywne,Apple and cranberry juice and,Fruit and vegetable juices,Jus de pomme et de canneberge et,Jus de fruits et de légumes
Sok z malin ,Soki owocowe i warzywne,Raspberry juice,Fruit and vegetable juices,Jus de framboise,Jus de fruits et de légumes
Sok z noni bio ,Soki owocowe i warzywne,Noni bio juice,Fruit and vegetable juices,Jus de noni bio,Jus de fruits et de légumes
Sok z pomara?czowy Jaffa pomara?czowy,Soki owocowe i warzywne,Orange Jaffa with orange juice,Fruit and vegetable juices,Jaffa à l&#39;orange avec jus d&#39;orange,Jus de fruits et de légumes
Sok z ?urawiny ,Soki owocowe i warzywne,Cranberry Juice,Fruit and vegetable juices,Jus de canneberge,Jus de fruits et de légumes
Sok ?urawinowy ,Soki owocowe i warzywne,Cranberry juice,Fruit and vegetable juices,Jus de canneberge,Jus de fruits et de légumes
Sonko Fit Wafle superfoods kukurydziane + amarantus 30 g ,Pozosta?e wyroby piekarskie,Sonko Fit Wafers superfoods corn + amaranth 30 g,Other bakery products,Sonko Fit Wafers superfoods maïs + amarante 30 g,Autres produits de boulangerie
Sorbet cytrynowe Mancuso ,Lody,Mancuso lemon sorbet,Ice cream,Sorbet au citron Mancuso,crème glacée
Sos Agnesi Napoletana ,"Sosy, przyprawy",Agnesi Napoletana Sauce,"Sauces, spices",Agnesi Napoletana Sauce,"Sauces, Epices"
Sos Agnesi pesto Alla Genovese z bazyli?,"Sosy, przyprawy",Agnesi sauce Alla Genovese pesto with basil,"Sauces, spices",Agnès sauce pesto Alla Genovese au basilic,"Sauces, Epices"
Sos Agnesi pesto Calabrese ,"Sosy, przyprawy",Agnesi Calabrese pesto sauce,"Sauces, spices",Agnesi sauce pesto calabrese,"Sauces, Epices"
Sos Agnesi pesto Siciliana ,"Sosy, przyprawy",Agnesi pesto Siciliana sauce,"Sauces, spices",Agnesi pesto siciliana,"Sauces, Epices"
Sos Amino bolo?ski,"Sosy, przyprawy",Amino Bolognese sauce,"Sauces, spices",Sauce aminée bolognaise,"Sauces, Epices"
Sos Amino pieczeniowy ciemny,"Sosy, przyprawy",Dark Amino gravy sauce,"Sauces, spices",Sauce sauce à l&#39;amino noir,"Sauces, Epices"
Sos Amino pieczeniowy jasny,"Sosy, przyprawy",Light Amino Roast Sauce,"Sauces, spices",Sauce aminée légère,"Sauces, Epices"
Sos Arrabbiata Pietro Coricelli ,"Sosy, przyprawy",Arrabbiata Pietro Coricelli sauce,"Sauces, spices",Sauce Arrabbiata Pietro Coricelli,"Sauces, Epices"
Sos bolognese z czerwonym winem Jamie Oliver ,"Sosy, przyprawy",Jamie Oliver bolognese sauce with red wine,"Sauces, spices",Sauce bolognaise Jamie Oliver au vin rouge,"Sauces, Epices"
Sos Bruschettina alla Genovese ,"Sosy, przyprawy",Bruschettina alla Genovese sauce,"Sauces, spices",Sauce bruschettina alla genovese,"Sauces, Epices"
Sos chili s?odko-pikantny Tao Tao,"Sosy, przyprawy",Tao Tao Sweet and Spicy Chili Sauce,"Sauces, spices",Tao Tao Sauce Chili Douce Et Épicée,"Sauces, Epices"
Sos Chili Sriracha ostry chilli 40% ,"Sosy, przyprawy",Sriracha Chili Sauce Hot Chilli 40%,"Sauces, spices",Sauce au chili Sriracha Chili chaud 40%,"Sauces, Epices"
Sos chili z imbirem 180g ,"Sosy, przyprawy",Chili sauce with ginger 180g,"Sauces, spices",Sauce chili au gingembre 180g,"Sauces, Epices"
Sos chilli bio bezglutenowy ,"Sosy, przyprawy",Bio gluten free chilli sauce,"Sauces, spices",Sauce au piment bio sans gluten,"Sauces, Epices"
Sos chilli lousiana ,"Sosy, przyprawy",Lousiana Chilli Sauce,"Sauces, spices",Lousiana Sauce Au Piment,"Sauces, Epices"
Sos chilli lousiana gold czerwony 57ml casa fiesta ,"Sosy, przyprawy",Chili sauce lousiana gold red 57ml casa fiesta,"Sauces, spices",Sauce chili lousiana doré rouge 57ml casa fiesta,"Sauces, Epices"
Sos chilli pikantny Vifon ,"Sosy, przyprawy",Vifon spicy chilli sauce,"Sauces, spices",Vifon sauce pimentée épicée,"Sauces, Epices"
Sos chilli z czosnkiem ,"Sosy, przyprawy",Chilli sauce with garlic,"Sauces, spices",Sauce chili à l&#39;ail,"Sauces, Epices"
Sos chi?ski ,"Sosy, przyprawy",Chinese sauce,"Sauces, spices",Sauce chinoise,"Sauces, Epices"
Sos curry ,"Sosy, przyprawy",Curry sauce,"Sauces, spices",Sauce au curry,"Sauces, Epices"
Sos czosnkowy ,"Sosy, przyprawy",Garlic sauce,"Sauces, spices",Sauce Ail,"Sauces, Epices"
Sos czosnkowy ,"Sosy, przyprawy",Garlic sauce,"Sauces, spices",Sauce Ail,"Sauces, Epices"
Sos czosnkowy Develey ,"Sosy, przyprawy",Develey garlic sauce,"Sauces, spices",Sauce à l&#39;ail Develey,"Sauces, Epices"
Sos Dawtona bolognese z zio?ami ,"Sosy, przyprawy",Dawton&#39;s bolognese sauce with herbs,"Sauces, spices",Sauce bolognaise aux herbes de Dawton,"Sauces, Epices"
Sos Develey chili,"Sosy, przyprawy",Chili Develey Sauce,"Sauces, spices",Develey sauce chili,"Sauces, Epices"
Sos Develey czosnkowy,"Sosy, przyprawy",Develey garlic sauce,"Sauces, spices",Sauce à l&#39;ail Develey,"Sauces, Epices"
Sos Develey Kebab ?agodny ,"Sosy, przyprawy",Develey Kebab sauce mild,"Sauces, spices",Develey Kebab sauce douce,"Sauces, Epices"
Sos Develey tatarski,"Sosy, przyprawy",Develey tartar sauce,"Sauces, spices",Develey sauce tartare,"Sauces, Epices"
Sos Develey W?gierski,"Sosy, przyprawy",Hungarian Develey Sauce,"Sauces, spices",Sauce Develey Hongroise,"Sauces, Epices"
Sos do pizzy Cirio ,"Sosy, przyprawy",Cirio pizza sauce,"Sauces, spices",Sauce à pizza Cirio,"Sauces, Epices"
Sos do ryby po grecku ,"Sosy, przyprawy",Greek fish sauce,"Sauces, spices",Sauce de poisson grecque,"Sauces, Epices"
Sos Dolmio bolognese z pieczarkami,"Sosy, przyprawy",Dolmio bolognese sauce with mushrooms,"Sauces, spices",Sauce bolognaise Dolmio aux champignons,"Sauces, Epices"
Sos grill ,"Sosy, przyprawy",BBQ sauce,"Sauces, spices",Sauce barbecue,"Sauces, Epices"
Sos hamburgerowy Develey ,"Sosy, przyprawy",Develey hamburger sauce,"Sauces, spices",Sauce hamburger Develey,"Sauces, Epices"
Sos holenderski Knorr ,"Sosy, przyprawy",Knorr Hollandaise Sauce,"Sauces, spices",Sauce Hollandaise Knorr,"Sauces, Epices"
Sos hot dog develey. ,"Sosy, przyprawy",Develey hot dog sauce.,"Sauces, spices",Develey sauce à hot-dog.,"Sauces, Epices"
Sos HP BBQ pikantny ,"Sosy, przyprawy",HP BBQ Spicy Sauce,"Sauces, spices",Sauce épicée pour barbecue HP,"Sauces, Epices"
Sos HP BBQ z miodem ,"Sosy, przyprawy",HP BBQ sauce with honey,"Sauces, spices",Sauce barbecue HP avec miel,"Sauces, Epices"
Sos Knorr borowikowy,"Sosy, przyprawy",Knorr Mushroom Sauce,"Sauces, spices",Sauce aux champignons Knorr,"Sauces, Epices"
Sos Knorr do pieczeni - jasny,"Sosy, przyprawy",Knorr sauce for roast - light,"Sauces, spices",Knorr sauce pour rôti - légère,"Sauces, Epices"
Sos Knorr do pieczeni ciemny ,"Sosy, przyprawy",Knorr sauce for roast dark,"Sauces, spices",Knorr sauce pour rôti noir,"Sauces, Epices"
Sos Knorr do pieczeni z cebulk?,"Sosy, przyprawy",Knorr sauce for roast with onions,"Sauces, spices",Knorr sauce pour rôti aux oignons,"Sauces, Epices"
Sos Knorr my?liwski,"Sosy, przyprawy",Knorr hunting sauce,"Sauces, spices",Sauce de chasse Knorr,"Sauces, Epices"
Sos Knorr s?odko - kwa?ny,"Sosy, przyprawy",Knorr sweet and sour sauce,"Sauces, spices",Knorr sauce aigre-douce,"Sauces, Epices"
Sos Knorr ?mietanowo - grzybowy,"Sosy, przyprawy",Knorr cream and mushroom sauce,"Sauces, spices",Knorr sauce à la crème et aux champignons,"Sauces, Epices"
Sos leczo ,"Sosy, przyprawy",Treated sauce,"Sauces, spices",Sauce traitée,"Sauces, Epices"
Sos Louisiana Red Casa Fiesta ,"Sosy, przyprawy",Louisiana Red Casa Fiesta Sauce,"Sauces, spices",Sauce Casa Fiesta Rouge Louisiane,"Sauces, Epices"
Sos ?owicz bolo?ski,"Sosy, przyprawy",?owicz Bolognese sauce,"Sauces, spices",?owicz sauce bolognaise,"Sauces, Epices"
Sos ?owicz bolo?ski ,"Sosy, przyprawy",?owicz Bolognese sauce,"Sauces, spices",?owicz sauce bolognaise,"Sauces, Epices"
Sos ?owicz chi?ski ,"Sosy, przyprawy",Chinese Lowicz sauce,"Sauces, spices",Sauce chinoise Lowicz,"Sauces, Epices"
Sos ?owicz meksyka?ski,"Sosy, przyprawy",Mexican Lowicz sauce,"Sauces, spices",Sauce mexicaine lowicz,"Sauces, Epices"
Sos ?owicz Neapolita?ski ,"Sosy, przyprawy",?owicz Neapolitan sauce,"Sauces, spices",?owicz sauce napolitaine,"Sauces, Epices"
Sos ?owicz pieczarkowy ,"Sosy, przyprawy",?owicz mushroom sauce,"Sauces, spices",Sauce aux champignons ?owicz,"Sauces, Epices"
Sos ?owicz pomidorowy z boczkiem ,"Sosy, przyprawy",Lowicz tomato sauce with bacon,"Sauces, spices",Lowicz sauce tomate aux lardons,"Sauces, Epices"
Sos ?owicz s?odko - kwa?ny Pikantny,"Sosy, przyprawy",?owicz sweet and sour sauce. Spicy,"Sauces, spices",?owicz sauce aigre-douce épicée,"Sauces, Epices"
Sos ?owicz s?odko-kwa?ny ,"Sosy, przyprawy",?owicz sweet and sour sauce,"Sauces, spices",?owicz sauce aigre-douce,"Sauces, Epices"
Sos ?owicz spaghetti,"Sosy, przyprawy",?owicz spaghetti sauce,"Sauces, spices",Sauce spaghetti ?owicz,"Sauces, Epices"
Sos ?owicz spaghetti ,"Sosy, przyprawy",?owicz spaghetti sauce,"Sauces, spices",Sauce spaghetti ?owicz,"Sauces, Epices"
Sos meksyka?ski Dawtona ,"Sosy, przyprawy",Dawton&#39;s Mexican sauce,"Sauces, spices",La sauce mexicaine de Dawton,"Sauces, Epices"
Sos meksyka?ski pikantny ,"Sosy, przyprawy",Mexican spicy sauce,"Sauces, spices",Sauce épicée mexicaine,"Sauces, Epices"
"Sos Melissa Primo Gusto,karton ","Sosy, przyprawy","Melissa Primo Gusto sauce, carton","Sauces, spices","Melissa Primo Gusto sauce, carton","Sauces, Epices"
Sos neapolitanski z papryka ,"Sosy, przyprawy",Neapolitan sauce with pepper,"Sauces, spices",Sauce napolitaine au poivre,"Sauces, Epices"
Sos Patak's indyjski butter chicken ,"Sosy, przyprawy",Patak&#39;s Indian butter chicken,"Sauces, spices",Poulet au beurre indien de Patak,"Sauces, Epices"
Sos Patak's Indyjski ?agodny Korma ,"Sosy, przyprawy",Patak&#39;s Indian sauce mild Korma,"Sauces, spices",Korma doux à la sauce indienne,"Sauces, Epices"
Sos pieczarkowy knorr ,"Sosy, przyprawy",Knorr mushroom sauce,"Sauces, spices",Sauce aux champignons Knorr,"Sauces, Epices"
Sos pomidorowy Mi?dzychód ,"Sosy, przyprawy",Tomato sauce Mi?dzychód,"Sauces, spices",Sauce Tomate Mi?dzychód,"Sauces, Epices"
Sos pomidorowy z bazyli? bio ,"Sosy, przyprawy",Tomato sauce with organic basil,"Sauces, spices",Sauce tomate au basilic bio,"Sauces, Epices"
Sos Pudliszki do kurczaka chi?ski ,"Sosy, przyprawy",Chinese chicken pudding sauce,"Sauces, spices",Sauce pouding au poulet chinois,"Sauces, Epices"
Sos Pudliszki do spaghetti z papryk? ,"Sosy, przyprawy",Pudliszki sauce for spaghetti with peppers,"Sauces, spices",Sauce Pudliszki pour spaghettis aux poivrons,"Sauces, Epices"
Sos Pudliszki do Spaghetti z pieczarkami,"Sosy, przyprawy",Pudliszki Sauce for Spaghetti with Mushrooms,"Sauces, spices",Sauce Pudliszki pour Spaghetti aux Champignons,"Sauces, Epices"
Sos Sacla z oliwkami pomidorami i kaparami,"Sosy, przyprawy","Sacla sauce with olives, tomatoes and capers","Sauces, spices","Sauce Sacla aux olives, tomates et câpres","Sauces, Epices"
Sos salsa dip meksyka?ski bio ,"Sosy, przyprawy",Organic Mexican salsa dip,"Sauces, spices",Trempette à la salsa mexicaine bio,"Sauces, Epices"
Sos salsa dip meksyka?ski bio ,"Sosy, przyprawy",Organic Mexican salsa dip,"Sauces, spices",Trempette à la salsa mexicaine bio,"Sauces, Epices"
Sos salsa guacamole case de mexico ,"Sosy, przyprawy",Guacamole Salsa Case de Mexico,"Sauces, spices",Guacamole Salsa Case de Mexico,"Sauces, Epices"
Sos sa?atkowy czosnkowy z zio?ami ,"Sosy, przyprawy",Garlic salad sauce with herbs,"Sauces, spices",Sauce à l&#39;ail aux herbes,"Sauces, Epices"
Sos sa?atkowy do mizerii ,"Sosy, przyprawy",Salad dressing for cucumber salad,"Sauces, spices",Vinaigrette pour la salade de concombre,"Sauces, Epices"
Sos sa?atkowy francuski knorr ,"Sosy, przyprawy",French knorr salad dressing,"Sauces, spices",Vinaigrette Knorr française,"Sauces, Epices"
Sos sa?atkowy kamis pikantny ,"Sosy, przyprawy",Kamis spicy salad dressing,"Sauces, spices",Kamis vinaigrette épicée,"Sauces, Epices"
Sos sa?atkowy paprykowo-zio?owy ,"Sosy, przyprawy",Pepper-herb salad dressing,"Sauces, spices",Vinaigrette au poivre et aux herbes,"Sauces, Epices"
Sos Schwartau malinowy ,Wyroby cukiernicze,Raspberry Schwartau Sauce,Confectionery,Sauce Schwartau Aux Framboises,Confiserie
Sos Schwartau truskawkowy,Wyroby cukiernicze,Strawberry Schwartau Sauce,Confectionery,Sauce Schwartau à la Fraise,Confiserie
Sos sojowy Kikkoman ,"Sosy, przyprawy",Kikkoman soy sauce,"Sauces, spices",Sauce de soja Kikkoman,"Sauces, Epices"
Sos sojowy Kikkoman bezglutenowy ,"Sosy, przyprawy",Kikkoman gluten-free soy sauce,"Sauces, spices",Sauce soja Kikkoman sans gluten,"Sauces, Epices"
Sos sojowy Yamasa ,"Sosy, przyprawy",Yamasa Soy Sauce,"Sauces, spices",Sauce de soja Yamasa,"Sauces, Epices"
